Unnamed: 0;ITTER107;Territorio;TIPO_DATO_CENERG;Tipo dato;DOTAZIONI_A;Fonte alimentazione;TIME;Seleziona periodo;Value;Flag Codes;Flags
268;ITF5;Basilicata;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;721.0;;
269;ITF5;Basilicata;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;425.0;;
94;ITD1;Bolzano;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;346754.0;;
95;ITD1;Bolzano;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;72564.0;;
96;ITD1;Bolzano;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;11236.0;;
97;ITD1;Bolzano;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;117543.0;;
98;ITD1;Bolzano;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;114733.0;;
99;ITD1;Bolzano;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1534.0;;
100;ITD1;Bolzano;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;245.0;;
101;ITD1;Bolzano;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;556.0;;
102;ITD1;Bolzano;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;1049.0;;
103;ITD1;Bolzano;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;391.0;;
104;ITD1;Bolzano;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;578.0;;
270;ITF6;Calabria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;1161997.0;;
271;ITF6;Calabria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;10027.0;;
272;ITF6;Calabria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;126783.0;;
273;ITF6;Calabria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;509778.0;;
274;ITF6;Calabria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;372022.0;;
275;ITF6;Calabria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;861.0;;
276;ITF6;Calabria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;359.0;;
277;ITF6;Calabria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;639.0;;
278;ITF6;Calabria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;793.0;;
279;ITF6;Calabria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;625.0;;
280;ITF6;Calabria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;477.0;;
237;ITF3;Campania;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;2922781.0;;
238;ITF3;Campania;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;39411.0;;
239;ITF3;Campania;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;322051.0;;
240;ITF3;Campania;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;1341000.0;;
241;ITF3;Campania;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;972679.0;;
242;ITF3;Campania;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;835.0;;
243;ITF3;Campania;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;382.0;;
244;ITF3;Campania;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;622.0;;
245;ITF3;Campania;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;662.0;;
246;ITF3;Campania;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;643.0;;
247;ITF3;Campania;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;491.0;;
149;ITE;Centro;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;8173318.0;;
150;ITE;Centro;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;270070.0;;
151;ITE;Centro;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;484398.0;;
152;ITE;Centro;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;3010721.0;;
153;ITE;Centro;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;3958511.0;;
154;ITE;Centro;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1280.0;;
155;ITE;Centro;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;546.0;;
156;ITE;Centro;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;565.0;;
157;ITE;Centro;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;870.0;;
158;ITE;Centro;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;397.0;;
159;ITE;Centro;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;419.0;;
138;ITD5;Emilia-Romagna;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;3834384.0;;
139;ITD5;Emilia-Romagna;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;49314.0;;
140;ITD5;Emilia-Romagna;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;152649.0;;
141;ITD5;Emilia-Romagna;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;1185561.0;;
142;ITD5;Emilia-Romagna;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;2355461.0;;
143;ITD5;Emilia-Romagna;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;2122.0;;
144;ITD5;Emilia-Romagna;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;966.0;;
145;ITD5;Emilia-Romagna;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;593.0;;
146;ITD5;Emilia-Romagna;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;1268.0;;
147;ITD5;Emilia-Romagna;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;381.0;;
148;ITD5;Emilia-Romagna;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;435.0;;
127;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;1010154.0;;
128;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;78649.0;;
129;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;56579.0;;
130;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;297576.0;;
131;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;508491.0;;
132;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1934.0;;
133;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;543.0;;
134;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;529.0;;
135;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;1066.0;;
136;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;454.0;;
137;ITD4;Friuli-Venezia Giulia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;434.0;;
0;IT;Italia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;42302968.0;;
1;IT;Italia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;1694455.0;;
2;IT;Italia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;2437978.0;;
3;IT;Italia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;15035032.0;;
4;IT;Italia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;21080936.0;;
5;IT;Italia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1398.0;;
6;IT;Italia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;449.0;;
7;IT;Italia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;581.0;;
8;IT;Italia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;1004.0;;
9;IT;Italia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;457.0;;
10;IT;Italia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;459.0;;
11;IT;Italia;ENER_SOUR_EXP_MED;spesa mediana delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1200.0;;
12;IT;Italia;ENER_SOUR_EXP_MED;spesa mediana delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;250.0;;
13;IT;Italia;ENER_SOUR_EXP_MED;spesa mediana delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;480.0;;
14;IT;Italia;ENER_SOUR_EXP_MED;spesa mediana delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;900.0;;
15;IT;Italia;ENER_SOUR_EXP_MED;spesa mediana delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;360.0;;
16;IT;Italia;ENER_SOUR_EXP_MED;spesa mediana delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;400.0;;
193;ITE4;Lazio;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;3693710.0;;
194;ITE4;Lazio;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;98630.0;;
195;ITE4;Lazio;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;219912.0;;
196;ITE4;Lazio;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;1470901.0;;
197;ITE4;Lazio;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;1739425.0;;
198;ITE4;Lazio;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1013.0;;
199;ITE4;Lazio;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;564.0;;
200;ITE4;Lazio;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;555.0;;
201;ITE4;Lazio;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;755.0;;
202;ITE4;Lazio;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;383.0;;
203;ITE4;Lazio;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;370.0;;
50;ITC3;Liguria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;1200124.0;;
51;ITC3;Liguria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;55576.0;;
52;ITC3;Liguria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;58680.0;;
53;ITC3;Liguria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;364063.0;;
54;ITC3;Liguria;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;682408.0;;
55;ITC3;Liguria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;998.0;;
56;ITC3;Liguria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;510.0;;
57;ITC3;Liguria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;461.0;;
58;ITC3;Liguria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;989.0;;
59;ITC3;Liguria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;501.0;;
60;ITC3;Liguria;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;624.0;;
61;ITC4;Lombardia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;8107385.0;;
62;ITC4;Lombardia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;306923.0;;
63;ITC4;Lombardia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;119751.0;;
64;ITC4;Lombardia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;2398897.0;;
65;ITC4;Lombardia;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;5097828.0;;
66;ITC4;Lombardia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1558.0;;
67;ITC4;Lombardia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;474.0;;
68;ITC4;Lombardia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;544.0;;
69;ITC4;Lombardia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;1212.0;;
70;ITC4;Lombardia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;354.0;;
71;ITC4;Lombardia;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;408.0;;
182;ITE3;Marche;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;1059778.0;;
183;ITE3;Marche;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;20561.0;;
184;ITE3;Marche;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;74256.0;;
185;ITE3;Marche;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;358593.0;;
186;ITE3;Marche;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;555524.0;;
187;ITE3;Marche;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1681.0;;
188;ITE3;Marche;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;677.0;;
189;ITE3;Marche;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;557.0;;
190;ITE3;Marche;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;1002.0;;
191;ITE3;Marche;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;360.0;;
192;ITE3;Marche;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;487.0;;
204;ITFG;Mezzogiorno;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;11408063.0;;
205;ITFG;Mezzogiorno;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;302303.0;;
206;ITFG;Mezzogiorno;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;1098621.0;;
207;ITFG;Mezzogiorno;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;5187581.0;;
208;ITFG;Mezzogiorno;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;4025016.0;;
209;ITFG;Mezzogiorno;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;1026.0;;
210;ITFG;Mezzogiorno;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;347.0;;
211;ITFG;Mezzogiorno;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;633.0;;
212;ITFG;Mezzogiorno;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);METAN;metano;2013;2013;752.0;;
213;ITFG;Mezzogiorno;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);FIREWOOD;legna;2013;2013;546.0;;
214;ITFG;Mezzogiorno;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);PELLETS;pellets;2013;2013;467.0;;
226;ITF2;Molise;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ALL;tutte le voci;2013;2013;204048.0;;
227;ITF2;Molise;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);H_OIL;gasolio;2013;2013;;n;dato statisticamente non significativo (vedasi metadati di dataset)
228;ITF2;Molise;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;5962.0;;
229;ITF2;Molise;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);ELECTR;energia elettrica;2013;2013;72710.0;;
230;ITF2;Molise;ENER_SOUR_EXP;spese delle famiglie per consumi energetici per fonte (migliaia di euro);METAN;metano;2013;2013;104733.0;;
231;ITF2;Molise;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);H_OIL;gasolio;2013;2013;862.0;;
232;ITF2;Molise;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);LPG;Gpl (Gas Petrolio Liquefatto);2013;2013;276.0;;
233;ITF2;Molise;ENER_SOUR_EXP_AV;spesa media effettiva delle famiglie per consumi energetici per fonte (euro);ELECTR;energia elettrica;2013;2013;555.0;;
